,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Yellowknife,62.456,-114.3525,12.72,57,20,13.8,CA,1649731284
1,Qaqortoq,60.7167,-46.0333,31.17,53,76,12.71,GL,1649731437
2,Guerrero Negro,27.9769,-114.0611,60.44,79,0,13.11,MX,1649731438
3,Saldanha,-33.0117,17.9442,62.65,55,0,5.97,ZA,1649731438
4,George Town,5.4112,100.3354,87.73,74,20,5.01,MY,1649731439
5,Ushuaia,-54.8,-68.3,40.66,81,0,0.0,AR,1649731193
6,Vaini,-21.2,-175.2,86.16,74,40,14.97,TO,1649731439
7,Bluff,-46.6,168.3333,55.8,62,84,22.48,NZ,1649731440
8,Geraldton,-28.7667,114.6,70.21,60,0,13.8,AU,1649731440
9,Byron Bay,-28.65,153.6167,78.71,78,41,16.13,AU,1649731424
10,Busselton,-33.65,115.3333,72.34,46,0,7.94,AU,1649731440
11,Nikolskoye,59.7035,30.7861,33.8,94,100,3.47,RU,1649731441
12,Khatanga,71.9667,102.5,-3.41,95,98,1.41,RU,1649731441
13,Sayula,19.8667,-103.6167,64.26,68,42,3.02,MX,1649731442
14,Seoul,37.5683,126.9778,76.39,60,75,11.5,KR,1649731279
15,Shingū,33.7333,135.9833,70.11,66,6,5.77,JP,1649731442
16,Faanui,-16.4833,-151.75,81.46,74,20,12.06,PF,1649731443
17,Tiksi,71.6872,128.8694,1.29,88,99,5.37,RU,1649731443
18,Arāria,26.15,87.5167,83.14,56,12,12.5,IN,1649731444
19,Nanortalik,60.1432,-45.2371,30.6,73,89,10.07,GL,1649731444
20,Albany,42.6001,-73.9662,54.25,60,95,3.76,US,1649731441
21,Ilulissat,69.2167,-51.1,21.22,63,100,2.3,GL,1649731445
22,Rikitea,-23.1203,-134.9692,79.07,71,1,15.79,PF,1649731446
23,Kwang Binh,17.4833,106.6,81.18,72,28,4.29,VN,1649731446
24,Hobart,-42.8794,147.3294,66.25,53,20,16.11,AU,1649731354
25,Chokurdakh,70.6333,147.9167,10.81,87,100,10.67,RU,1649731447
26,Clyde River,70.4692,-68.5914,-9.17,77,0,3.44,CA,1649731447
27,New Norfolk,-42.7826,147.0587,65.91,49,76,4.0,AU,1649731448
28,Kabanjahe,3.1001,98.4908,74.62,67,83,1.21,ID,1649731448
29,Kimbe,-5.5502,150.1429,86.72,70,82,7.54,PG,1649731448
30,Zhangaözen,43.3,52.8,60.04,54,0,14.76,KZ,1649731449
31,Mar del Plata,-38.0023,-57.5575,55.87,90,0,8.01,AR,1649731261
32,Mizdah,31.4451,12.9801,50.32,72,81,9.48,LY,1649731449
33,Salina,38.8403,-97.6114,60.93,41,75,8.05,US,1649731450
34,Ballina,-28.8667,153.5667,80.78,78,75,16.11,AU,1649731450
35,Qaanaaq,77.484,-69.3632,-8.36,67,26,6.29,GL,1649731451
36,Jamestown,42.097,-79.2353,53.24,73,100,8.05,US,1649730865
37,Saint George,37.1041,-113.5841,73.99,20,0,29.93,US,1649731291
38,Lillooet,50.6856,-121.942,35.56,63,84,3.24,CA,1649731452
39,Balkanabat,39.5108,54.3671,69.19,43,5,14.16,TM,1649731452
40,Mataura,-46.1927,168.8643,55.47,53,57,8.03,NZ,1649731453
41,Cidreira,-30.1811,-50.2056,68.52,93,82,7.45,BR,1649731453
42,Dikson,73.5069,80.5464,14.11,91,100,23.24,RU,1649731454
43,Atuona,-9.8,-139.0333,79.2,78,46,14.14,PF,1649731454
44,Puerto Carreño,6.189,-67.4859,79.09,84,100,6.38,CO,1649731455
45,Salme,28.0369,85.0942,66.49,57,57,4.9,NP,1649731455
46,Port Alfred,-33.5906,26.891,66.18,91,100,4.0,ZA,1649731456
47,Mehamn,71.0357,27.8492,33.75,93,100,17.27,NO,1649731456
48,Villamaría,5.0449,-75.5146,64.87,95,100,4.43,CO,1649731456
49,Kawalu,-7.3817,108.2082,84.31,62,5,3.76,ID,1649731457
50,Alice Springs,-23.7,133.8833,94.55,16,5,13.8,AU,1649731282
51,Nieuw Amsterdam,5.8833,-55.0833,77.16,91,89,9.06,SR,1649731458
52,Hermanus,-34.4187,19.2345,66.04,63,85,5.03,ZA,1649731458
53,Saint-Philippe,-21.3585,55.7679,73.22,85,84,16.4,RE,1649731459
54,Vila Velha,-20.3297,-40.2925,75.94,93,40,1.14,BR,1649731459
55,Tselinnoye,53.0833,85.6667,37.51,50,1,10.07,RU,1649731460
56,Leningradskiy,69.3833,178.4167,-2.49,83,15,4.29,RU,1649731460
57,Kapaa,22.0752,-159.319,82.38,77,20,11.5,US,1649731461
58,Punta Arenas,-53.15,-70.9167,42.91,70,0,14.97,CL,1649731305
59,Tambopata,-12.7333,-69.1833,72.64,98,100,2.33,PE,1649731461
60,Zarubino,42.63,131.0922,43.92,85,100,12.53,RU,1649731462
61,Micheweni,-4.9667,39.8333,79.45,83,86,10.4,TZ,1649731462
62,Luanda,-8.8368,13.2343,76.68,86,100,6.55,AO,1649731164
63,Puerto Ayora,-0.7393,-90.3518,77.56,95,75,3.0,EC,1649731463
64,Broome,42.2506,-75.833,51.37,79,100,9.22,US,1649731463
65,Palu,-0.8917,119.8707,90.16,58,93,3.38,ID,1649731464
66,Ust'-Omchug,61.15,149.6333,10.49,75,6,5.59,RU,1649731464
67,Cockburn Town,21.4612,-71.1419,76.48,79,96,27.11,TC,1649731465
68,Gamba,-2.65,10.0,76.89,91,99,4.76,GA,1649731465
69,Solnechnyy,50.7214,136.6319,29.66,81,100,8.59,RU,1649731466
70,Tutóia,-2.7619,-42.2744,77.09,90,100,10.13,BR,1649731466
71,Mariehamn,60.0973,19.9348,30.06,86,0,1.14,AX,1649731467
72,Payo,-3.7508,103.6372,87.1,60,46,1.72,ID,1649731467
73,Mocuba,-16.8392,36.9856,69.57,98,21,1.92,MZ,1649731468
74,Caluquembe,-13.7833,14.6833,58.33,96,100,3.11,AO,1649731468
75,Durgapur,23.4833,87.3167,84.49,79,96,5.75,IN,1649731469
76,Oddur,4.1213,43.8894,74.39,83,80,6.6,SO,1649731469
77,Yining,29.0361,114.5636,89.8,36,21,1.21,CN,1649731470
78,Hong Kong,22.2855,114.1577,81.03,74,0,5.01,HK,1649731203
79,Ordu,40.9086,37.6845,36.1,95,100,10.2,TR,1649731470
80,Wakkanai,45.4094,141.6739,42.78,93,75,10.36,JP,1649731471
81,Esperance,-33.8667,121.9,67.84,80,75,16.6,AU,1649731471
82,Hithadhoo,-0.6,73.0833,83.37,68,14,12.03,MV,1649731472
83,Butaritari,3.0707,172.7902,81.32,74,73,9.28,KI,1649731472
84,Port Elizabeth,-33.918,25.5701,65.32,90,0,8.05,ZA,1649731473
85,Avarua,-21.2078,-159.775,80.65,78,20,4.61,CK,1649731473
86,Sal Rei,16.1833,-22.9167,68.59,80,99,17.98,CV,1649731473
87,Bredasdorp,-34.5322,20.0403,63.86,72,1,2.53,ZA,1649731474
88,Saskylakh,71.9167,114.0833,0.57,90,97,2.01,RU,1649731474
89,College,64.8569,-147.8028,41.32,44,0,10.36,US,1649731475
90,Buraidah,26.326,43.975,77.45,16,73,3.89,SA,1649731475
91,Bilma,18.6853,12.9164,81.82,7,0,6.26,NE,1649731475
92,Dingle,10.9995,122.6711,77.09,90,100,8.59,PH,1649731476
93,Pemba,-12.974,40.5178,79.14,81,25,10.56,MZ,1649731476
94,Whitefish,48.4111,-114.3376,30.51,50,100,19.57,US,1649731230
95,Chambéry,45.5667,5.9333,55.35,91,0,1.14,FR,1649731477
96,Kidal,18.4411,1.4078,82.02,5,0,10.13,ML,1649731477
97,Nouakchott,18.0858,-15.9785,66.13,82,100,14.14,MR,1649731478
98,Ancud,-41.8697,-73.8203,46.22,82,14,5.01,CL,1649731478
99,Thompson,55.7435,-97.8558,28.56,69,75,8.05,CA,1649731479
100,Upernavik,72.7868,-56.1549,13.71,95,100,8.84,GL,1649731479
101,Sumbe,-11.2061,13.8437,74.84,87,15,5.46,AO,1649731480
102,Petropavlovsk-Kamchatskiy,53.0452,158.6483,41.59,42,20,8.95,RU,1649731480
103,Kahului,20.8947,-156.47,82.42,72,75,21.85,US,1649731481
104,Bend,44.0582,-121.3153,34.88,67,40,14.97,US,1649731481
105,Bonnyville,54.2668,-110.735,22.32,75,100,15.19,CA,1649731482
106,Chifeng,42.2683,118.9636,48.97,19,35,12.53,CN,1649731482
107,Vila Franca do Campo,37.7167,-25.4333,61.21,96,91,7.99,PT,1649731483
108,Itaituba,-4.2761,-55.9836,73.98,99,100,0.45,BR,1649731483
109,Katsuura,35.1333,140.3,67.33,76,0,13.78,JP,1649731484
110,Hasaki,35.7333,140.8333,79.29,75,0,16.58,JP,1649731484
111,Praia da Vitória,38.7333,-27.0667,62.85,88,75,8.48,PT,1649731485
112,Kandrian,-6.2167,149.55,87.01,64,44,6.82,PG,1649731485
113,Ishigaki,24.3448,124.1572,78.93,78,20,9.22,JP,1649731486
114,Abu Dhabi,24.4667,54.3667,76.96,86,1,4.61,AE,1649731486
115,Beira,-19.8436,34.8389,73.22,93,87,5.57,MZ,1649731487
116,Mbala,-8.8402,31.3659,60.8,92,83,8.57,ZM,1649731487
117,Inverell,-29.7833,151.1167,80.11,43,0,7.0,AU,1649731487
118,Aykhal,66.0,111.5,21.92,75,44,3.06,RU,1649731488
119,Necochea,-38.5473,-58.7368,51.4,87,10,10.8,AR,1649731488
120,Verāval,20.9,70.3667,83.28,66,73,7.99,IN,1649731211
121,Pevek,69.7008,170.3133,-6.05,85,5,7.05,RU,1649731489
122,Ambilobe,-13.2,49.05,69.94,89,18,4.05,MG,1649731489
123,Zhigansk,66.7697,123.3711,8.89,84,51,12.17,RU,1649731490
124,Rovaniemi,66.5,25.7167,29.61,100,75,3.44,FI,1649731490
125,Padang,-0.9492,100.3543,86.05,63,48,3.49,ID,1649731490
126,Greater Sudbury,46.49,-80.99,41.97,86,100,9.71,CA,1649731424
127,Hilo,19.7297,-155.09,86.29,93,100,5.75,US,1649731491
128,Thap Than,15.4606,99.8917,94.32,35,24,3.06,TH,1649731491
129,Barrow,71.2906,-156.7887,21.22,86,100,10.36,US,1649731202
130,Tiébissou,7.1574,-5.2257,77.09,88,99,2.8,CI,1649731492
131,Narsaq,60.9167,-46.05,37.62,51,47,12.82,GL,1649731492
132,Coyhaique,-45.5752,-72.0662,42.75,75,20,5.75,CL,1649731493
